Date,Close,125MA,Spread
2015-05-14,2120.33,1995.81256,124.51744
2015-05-15,2106.5,1996.96056,109.53944
2015-05-18,2113.72,1998.13216,115.58784
2015-05-19,2120.85,1999.41488,121.43512
2015-05-20,2139.54,2000.97008,138.56992
2015-05-21,2122.81,2002.40352,120.40648
2015-05-22,2146.1,2003.83624,142.26376
2015-05-26,2143.5,2005.24928,138.25072
2015-05-27,2107.5,2006.44496,101.05504
2015-05-28,2110.89,2007.61336,103.27664
2015-05-29,2114.8,2008.70344,106.09656
2015-06-01,2102.37,2009.68072,92.68928
2015-06-02,2078.64,2010.46312,68.17688
2015-06-03,2063.16,2011.11168,52.04832
2015-06-04,2072.86,2011.84832,61.01168
2015-06-05,2068.1,2012.67136,55.42864
2015-06-08,2065.19,2013.46624,51.72376
2015-06-09,2064.03,2014.2192,49.8108
2015-06-10,2051.32,2014.73688,36.58312
2015-06-11,2056.61,2015.2968,41.3132
2015-06-12,2052.17,2015.88256,36.28744
2015-06-15,2042.32,2016.45352,25.86648
2015-06-16,2028.72,2017.1188,11.6012
2015-06-17,2034.86,2018.06496,16.79504
2015-06-18,2041.88,2019.02632,22.85368
2015-06-19,2046.96,2020.03912,26.92088
2015-06-22,2055.16,2021.24736,33.91264
2015-06-23,2081.2,2022.69568,58.50432
2015-06-24,2085.53,2024.19992,61.33008
2015-06-25,2085.06,2025.44056,59.61944
2015-06-26,2090.26,2026.61768,63.64232
2015-06-29,2060.49,2027.58944,32.90056
2015-06-30,2074.2,2028.61016,45.58984
2015-07-01,2097.89,2029.808,68.082
2015-07-02,2107.33,2031.24376,76.08624
2015-07-03,2104.41,2032.75432,71.65568
2015-07-06,2053.93,2033.77424,20.15576
2015-07-07,2040.29,2034.77056,5.51944
2015-07-08,2016.21,2035.84064,-19.63064
2015-07-09,2027.81,2036.99248,-9.18248
2015-07-10,2031.17,2038.00464,-6.83464
2015-07-13,2061.52,2039.0992,22.4208
2015-07-14,2059.23,2040.20544,19.02456
2015-07-15,2072.91,2041.4516,31.4584
2015-07-16,2087.89,2042.84544,45.04456
2015-07-17,2076.79,2044.14664,32.64336
2015-07-20,2073.31,2045.62808,27.68192
2015-07-21,2083.62,2047.07608,36.54392
2015-07-22,2064.73,2048.24744,16.48256
2015-07-23,2065.07,2049.39816,15.67184
2015-07-24,2045.96,2050.39928,-4.43928
2015-07-27,2038.81,2051.22104,-12.41104
2015-07-28,2039.1,2052.0484,-12.9484
2015-07-29,2037.62,2052.73016,-15.11016
2015-07-30,2019.03,2053.18976,-34.15976
2015-07-31,2030.16,2053.82288,-23.66288
2015-08-03,2008.49,2054.29672,-45.80672
